# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PVP01_0001880	PVP01_0001880	PVP01_0001880		2	1	3	307	0	1	0	0	117	2	0	0	2	0	0	0	0	0	0	0	1	190
PVP01_0001890	PVP01_0001890	PVP01_0001890		9	28	36	236	0	0	0	0	58	6	0	23	36	0	1	3	0	2	0	0	26	158
PVP01_0001900	PVP01_0001900	PVP01_0001900		0	8	6	422	0	0	0	0	267	0	0	6	6	0	0	1	0	0	0	0	7	150
PVP01_0001910	PVP01_0001910	PVP01_0001910		2	9	37	299	0	0	0	0	191	2	0	0	37	0	0	0	0	0	0	0	9	108
PVP01_0001920	PVP01_0001920	PVP01_0001920		7	6	31	382	0	1	3	0	214	7	0	13	27	0	0	1	0	0	0	0	5	156
PVP01_0001930	PVP01_0001930	PVP01_0001930		15	21	47	508	1	1	0	1	339	14	0	22	44	0	0	3	0	0	1	0	18	150
PVP01_0001940	PVP01_0001940	PVP01_0001940		1	16	30	651	0	0	1	1	316	1	0	15	28	0	0	5	0	0	0	1	11	324
PVP01_0001950	PVP01_0001950	PVP01_0001950		2	16	50	399	0	0	0	0	135	2	0	27	50	0	0	1	0	0	0	0	15	238
PVP01_0001960	PVP01_0001960	PVP01_0001960		0	0	1	338	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	0	0	292
PVP01_0001970	PVP01_0001970	PVP01_0001970		0	0	0	134	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	81
PVP01_0001980	PVP01_0001980	PVP01_0001980		1	3	5	280	0	0	0	0	224	0	0	8	5	0	0	1	0	1	0	0	3	48
PVP01_0001990	PVP01_0001990	PVP01_0001990		9	24	99	283	0	0	1	0	150	8	0	9	98	0	1	1	0	0	0	0	24	125
PVP01_0002000	PVP01_0002000	PVP01_0002000		0	2	5	540	0	0	0	0	315	0	0	7	5	0	0	1	0	0	0	0	1	219
PVP01_0002010	PVP01_0002010	PVP01_0002010		5	12	76	425	0	0	2	1	138	4	0	13	74	0	0	1	0	1	0	0	11	275
PVP01_0002020	PVP01_0002020	PVP01_0002020		13	2	10	289	0	0	1	0	28	13	0	10	9	0	0	0	0	1	0	0	2	251
PVP01_0002030	PVP01_0002030	PVP01_0002030		0	0	0	51	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	28
PVP01_0002040	PVP01_0002040	PVP01_0002040		0	1	2	106	0	0	0	0	101	0	0	5	2	0	0	0	0	0	0	0	1	0
PVP01_0002050	PVP01_0002050	PVP01_0002050		16	46	156	487	2	4	0	1	129	14	0	18	149	0	1	4	0	2	0	0	44	343
PVP01_0002060	PVP01_0002060	PVP01_0002060		0	6	15	559	3	0	2	0	269	0	0	0	10	0	0	0	0	0	0	0	6	290
PVP01_0002070	PVP01_0002070	PVP01_0002070		0	4	5	408	0	0	0	0	318	0	0	6	5	0	0	1	0	0	0	0	3	85
PVP01_0002080	PVP01_0002080	PVP01_0002080		3	11	22	516	0	1	1	0	181	2	0	18	20	0	0	1	0	1	0	0	10	318
PVP01_0002090	PVP01_0002090	PVP01_0002090		9	11	47	336	0	0	0	1	154	9	0	13	46	0	0	0	0	1	0	0	11	169
PVP01_0002100	PVP01_0002100	PVP01_0002100		8	22	65	359	1	0	2	2	180	8	0	3	60	0	0	1	0	1	0	0	21	177
PVP01_0002110	PVP01_0002110	PVP01_0002110		5	13	22	491	0	0	3	0	158	4	0	29	19	0	0	5	0	1	0	0	8	309
PVP01_0002120	PVP01_0002120	PVP01_0002120		5	14	25	390	0	0	1	0	275	4	0	16	24	0	0	2	0	1	0	1	12	100
PVP01_0002130	PVP01_0002130	PVP01_0002130		5	2	16	366	0	0	0	1	162	4	0	8	15	0	0	0	0	1	0	0	2	196
PVP01_0002140	PVP01_0002140	PVP01_0002140		8	8	13	263	0	0	0	0	190	6	0	8	13	0	0	2	0	1	1	0	8	65
PVP01_0002150	PVP01_0002150	PVP01_0002150		0	0	0	125	0	0	0	0	21	0	0	2	0	0	0	0	0	0	0	0	0	102
PVP01_0002160	PVP01_0002160	PVP01_0002160		1	0	2	122	0	0	0	0	53	0	0	0	2	0	0	0	0	1	0	0	0	69
PVP01_0002170	PVP01_0002170	PVP01_0002170		4	3	10	230	1	0	0	0	211	3	0	0	9	0	0	1	0	1	0	0	3	19
PVP01_0002180	PVP01_0002180	PVP01_0002180		3	50	32	209	0	0	1	1	63	3	0	41	30	0	0	4	0	0	0	0	47	108
PVP01_0002190	PVP01_0002190	PVP01_0002190		0	0	0	324	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	138
PVP01_0002200	PVP01_0002200	PVP01_0002200		7	9	39	264	2	1	1	2	54	6	0	4	33	0	0	0	0	1	0	0	9	206
PVP01_0002210	PVP01_0002210	PVP01_0002210		0	16	36	450	0	0	0	0	303	0	0	9	36	0	0	0	0	0	0	0	16	138
PVP01_0002220	PVP01_0002220	PVP01_0002220		10	12	50	313	0	0	0	0	44	10	0	0	50	0	0	0	0	0	0	0	12	269
PVP01_0002230	PVP01_0002230	PVP01_0002230		1	0	0	400	0	0	0	0	70	1	0	0	0	0	0	0	0	0	0	0	0	330
PVP01_0002240	PVP01_0002240	PVP01_0002240		4	28	47	569	0	0	0	0	402	4	0	19	47	0	0	0	0	0	0	0	28	148
PVP01_0002250	PVP01_0002250	PVP01_0002250		23	21	48	623	1	0	1	0	315	19	0	8	46	0	1	2	0	3	0	0	21	301
PVP01_0002260	PVP01_0002260	PVP01_0002260		4	1	23	562	0	0	0	0	136	4	0	0	23	0	0	0	0	0	0	0	1	426
PVP01_0002270	PVP01_0002270	PVP01_0002270		1	7	26	335	0	0	0	0	133	1	0	8	26	0	0	0	0	0	0	0	7	194
PVP01_0002280	PVP01_0002280	PVP01_0002280		5	15	42	180	0	0	1	2	50	5	0	1	39	0	0	0	0	0	0	0	15	129
PVP01_0002290	PVP01_0002290	PVP01_0002290		1	6	11	121	0	0	0	0	74	0	0	10	11	0	0	0	0	1	0	0	6	37
PVP01_0002300	PVP01_0002300	PVP01_0002300		0	0	0	118	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	77
PVP01_0002310	PVP01_0002310	PVP01_0002310		6	7	31	439	0	0	0	0	65	5	0	19	31	0	0	2	0	1	0	0	6	356
PVP01_0002320	PVP01_0002320	PVP01_0002320		16	45	137	709	0	1	0	0	231	14	0	22	136	1	0	4	0	1	0	0	42	460
PVP01_0002330	PVP01_0002330	PVP01_0002330		8	36	63	689	0	0	0	0	111	7	0	26	63	0	0	1	0	1	0	0	35	553
PVP01_0002340	PVP01_0002340	PVP01_0002340		0	0	0	319	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	260
PVP01_0002350	PVP01_0002350	PVP01_0002350		2	2	2	141	0	0	0	0	101	2	0	0	2	0	0	0	0	0	0	0	2	40
PVP01_0002360	PVP01_0002360	PVP01_0002360		2	6	15	339	0	0	0	0	108	2	0	0	15	0	0	0	0	0	0	0	6	231
PVP01_0002370	PVP01_0002370	PVP01_0002370		5	2	16	322	0	1	1	1	231	4	0	10	14	0	0	0	0	1	0	0	2	81
PVP01_0002380	PVP01_0002380	PVP01_0002380		0	8	24	321	0	0	0	0	87	0	0	12	24	0	0	2	0	0	0	0	6	224
PVP01_0002390	PVP01_0002390	PVP01_0002390		6	13	69	221	0	0	0	0	172	4	0	6	69	0	0	4	0	2	0	0	10	46
PVP01_0002400	PVP01_0002400	PVP01_0002400		4	8	9	194	0	0	1	0	76	3	0	11	8	0	1	3	0	0	0	0	6	110
PVP01_0002410	PVP01_0002410	PVP01_0002410		0	1	28	350	0	0	0	0	259	0	0	0	28	0	0	0	0	0	0	0	1	91
PVP01_0002420	PVP01_0002420	PVP01_0002420		7	13	49	654	0	0	0	0	399	6	0	22	49	0	0	1	0	1	0	0	13	233
PVP01_0002430	PVP01_0002430	PVP01_0002430		14	20	82	615	1	0	1	0	205	13	0	20	80	0	0	1	0	1	0	0	19	391
PVP01_0002440	PVP01_0002440	PVP01_0002440		6	4	17	669	0	0	2	2	254	6	0	4	13	0	0	2	0	0	0	0	3	412
PVP01_0002450	PVP01_0002450	PVP01_0002450		16	14	30	689	1	0	0	0	204	15	0	0	29	0	0	0	0	1	0	0	14	485
PVP01_0002460	PVP01_0002460	PVP01_0002460		16	41	97	648	0	1	2	1	320	15	0	33	93	0	1	2	0	0	0	0	40	297
PVP01_0002470	PVP01_0002470	PVP01_0002470		1	16	32	546	0	0	0	0	536	0	0	2	32	0	0	0	0	1	0	0	16	8
PVP01_0002480	PVP01_0002480	PVP01_0002480		2	0	3	208	0	0	0	0	197	2	0	2	3	0	0	0	0	0	0	0	0	9
PVP01_0002490	PVP01_0002490	PVP01_0002490		5	18	49	347	1	0	0	1	303	4	0	8	47	0	0	1	0	1	0	0	18	36
PVP01_0002500	PVP01_0002500	PVP01_0002500		14	8	29	524	0	0	0	0	205	14	0	0	29	0	0	0	0	1	0	0	8	319
PVP01_0002510	PVP01_0002510	PVP01_0002510		0	3	5	487	0	0	0	0	304	0	0	4	5	0	0	1	0	0	0	0	2	180
PVP01_0002520	PVP01_0002520	PVP01_0002520		5	14	22	340	0	0	0	0	199	3	0	17	22	0	1	1	1	1	0	0	13	126
PVP01_0002530	PVP01_0002530	PVP01_0002530		8	7	14	375	0	0	0	0	310	8	0	2	14	0	0	0	0	1	0	0	7	63
PVP01_0002540	PVP01_0002540	PVP01_0002540		2	2	17	208	0	1	2	2	92	2	0	0	12	0	0	0	0	0	0	0	2	116
PVP01_0002550	PVP01_0002550	PVP01_0002550		4	7	28	88	0	0	0	0	53	4	0	0	28	0	0	0	0	0	0	0	7	35
PVP01_0002560	PVP01_0002560	PVP01_0002560		0	4	8	88	0	0	0	0	75	0	0	0	8	0	0	0	0	0	0	0	4	13
PVP01_0002570	PVP01_0002570	PVP01_0002570		0	5	2	89	0	0	0	0	35	0	0	0	2	0	0	0	0	0	0	0	5	54
PVP01_0002580	PVP01_0002580	PVP01_0002580		1	3	8	174	0	0	0	0	39	0	0	10	8	0	0	1	0	1	0	0	3	125
PVP01_0002590	PVP01_0002590	PVP01_0002590		1	3	4	219	0	0	0	0	171	0	0	0	4	0	0	0	0	0	1	0	3	48
PVP01_0002600	PVP01_0002600	PVP01_0002600		1	3	2	132	0	0	0	0	91	1	0	0	2	0	0	0	0	0	0	0	3	41
PVP01_0002610	PVP01_0002610	PVP01_0002610		1	1	11	148	0	0	0	0	55	1	0	14	11	0	0	0	0	0	0	0	1	79
PVP01_0002620	PVP01_0002620	PVP01_0002620		5	12	36	98	2	2	0	0	51	4	0	0	32	0	0	0	0	1	0	0	12	47
PVP01_0002630	PVP01_0002630	PVP01_0002630		2	4	7	102	0	0	0	0	101	2	0	0	7	0	0	0	0	0	0	0	4	1
PVP01_0002640	PVP01_0002640	PVP01_0002640		0	0	0	47	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	28
PVP01_0002650	PVP01_0002650	PVP01_0002650		1	0	2	34	0	0	0	0	25	0	0	0	2	0	0	0	1	0	0	0	0	9
PVP01_0002660	PVP01_0002660	PVP01_0002660		1	0	2	286	0	0	0	0	34	1	0	0	2	0	0	0	0	0	0	0	0	252
PVP01_0002670	PVP01_0002670	PVP01_0002670		8	20	49	205	2	3	0	1	165	6	0	0	44	0	0	0	0	2	0	0	20	40
PVP01_0002680	PVP01_0002680	PVP01_0002680		0	0	0	198	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	30
PVP01_0002690	PVP01_0002690	PVP01_0002690		0	4	3	156	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	4	138
PVP01_0002700	PVP01_0002700	PVP01_0002700		9	3	28	135	1	1	0	1	105	9	0	0	25	0	0	0	0	0	0	0	3	30
PVP01_0002710	PVP01_0002710	PVP01_0002710		3	7	25	301	0	2	2	0	120	3	0	0	21	0	0	0	0	0	0	0	7	181
PVP01_0002720	PVP01_0002720	PVP01_0002720		13	12	64	270	0	0	0	1	155	11	0	0	63	0	0	0	0	2	0	0	12	115
PVP01_0002730	PVP01_0002730	PVP01_0002730		0	0	1	100	0	0	0	0	23	0	0	1	1	0	0	0	0	0	0	0	0	76
PVP01_0002740	PVP01_0002740	PVP01_0002740		9	8	28	143	0	1	0	0	29	8	0	8	27	0	0	2	0	1	0	0	6	108
PVP01_0002750	PVP01_0002750	PVP01_0002750		5	3	7	234	0	0	0	0	89	4	0	7	7	1	0	2	0	0	0	0	2	140
PVP01_0002760	PVP01_0002760	PVP01_0002760		13	8	50	90	3	1	1	4	37	11	0	11	41	0	0	1	0	2	0	0	7	43
PVP01_0002770	PVP01_0002770	PVP01_0002770		0	1	0	141	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	1	116
PVP01_0002780	PVP01_0002780	PVP01_0002780		3	1	10	82	0	0	0	0	49	3	0	0	10	0	0	0	0	0	0	0	1	33
PVP01_0002790	PVP01_0002790	PVP01_0002790		1	2	21	195	0	0	0	0	25	0	0	0	21	0	0	0	0	1	0	0	2	170
PVP01_0002800	PVP01_0002800	PVP01_0002800		1	3	9	251	0	0	0	0	60	1	0	15	9	0	0	3	0	0	0	0	2	177
PVP01_0002810	PVP01_0002810	PVP01_0002810		0	9	24	263	0	0	0	0	169	0	0	7	24	0	0	0	0	0	0	0	9	87
PVP01_0002820	PVP01_0002820	PVP01_0002820		0	4	32	149	0	0	0	0	82	0	0	5	32	0	0	1	0	0	0	0	4	62
PVP01_0002830	PVP01_0002830	PVP01_0002830		0	0	2	128	0	0	0	0	89	0	0	7	2	0	0	0	0	0	0	0	0	32
PVP01_0002840	PVP01_0002840	PVP01_0002840		2	0	2	334	0	0	0	0	26	2	0	4	2	0	0	0	0	0	0	0	0	304
PVP01_0002850	PVP01_0002850	PVP01_0002850		5	6	33	544	0	0	1	0	48	4	0	19	32	0	0	0	1	0	0	0	6	477
PVP01_0002860	PVP01_0002860	PVP01_0002860		13	20	87	625	2	2	0	0	292	12	0	31	83	0	0	1	0	2	0	0	19	303
PVP01_0002870	PVP01_0002870	PVP01_0002870		0	1	5	351	0	0	0	0	137	0	0	0	5	0	0	0	0	0	0	0	1	214
PVP01_0002880	PVP01_0002880	PVP01_0002880		5	4	22	217	0	1	2	1	116	5	0	0	18	0	0	1	0	0	0	1	3	101
PVP01_0002890	PVP01_0002890	PVP01_0002890		6	15	41	381	0	0	0	0	46	6	0	22	41	0	0	1	0	0	0	0	15	313
PVP01_0002900	PVP01_0002900	PVP01_0002900		6	32	76	625	0	0	0	0	148	5	0	20	76	0	0	1	0	1	0	0	31	458
PVP01_0002910	PVP01_0002910	PVP01_0002910		15	19	113	816	2	3	3	1	380	13	0	21	105	0	0	0	0	2	0	0	19	415
PVP01_0002920	PVP01_0002920	PVP01_0002920		7	12	59	663	1	0	0	1	440	6	0	4	57	0	0	0	0	1	0	0	12	219
PVP01_0002930	PVP01_0002930	PVP01_0002930		13	20	57	484	2	1	1	0	232	13	0	1	53	0	0	0	0	0	0	0	20	251
PVP01_0002940	PVP01_0002940	PVP01_0002940		0	3	8	510	0	0	0	0	316	0	0	7	8	0	0	0	0	0	0	0	3	187
PVP01_0002950	PVP01_0002950	PVP01_0002950		7	22	39	279	0	0	0	0	91	6	0	15	39	0	0	4	0	1	0	0	18	177
PVP01_0002960	PVP01_0002960	PVP01_0002960		0	0	1	366	0	0	0	0	171	0	0	0	1	0	0	0	0	0	0	0	0	195
PVP01_0002970	PVP01_0002970	PVP01_0002970		0	5	7	441	0	0	0	0	343	0	0	0	7	0	0	0	0	0	0	0	5	98
PVP01_0002980	PVP01_0002980	PVP01_0002980		14	19	61	425	0	0	1	2	141	13	0	14	59	0	0	1	1	0	0	0	18	271
PVP01_0002990	PVP01_0002990	PVP01_0002990		0	0	0	350	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	233
PVP01_0003000	PVP01_0003000	PVP01_0003000		9	13	46	223	0	0	0	0	89	8	0	25	46	0	0	6	0	1	0	0	7	115
PVP01_0003010	PVP01_0003010	PVP01_0003010		5	6	18	206	0	2	1	0	171	5	0	3	15	0	0	1	0	0	0	0	5	33
PVP01_0003020	PVP01_0003020	PVP01_0003020		3	0	3	90	0	0	0	0	25	2	0	0	3	0	0	0	0	1	0	0	0	65
PVP01_0003030	PVP01_0003030	PVP01_0003030		2	3	17	88	1	0	2	1	16	2	0	2	13	0	0	1	0	0	0	0	3	70
PVP01_0003040	PVP01_0003040	PVP01_0003040		0	5	9	114	0	0	0	0	91	0	0	2	9	0	0	2	0	0	0	0	4	22
PVP01_0003050	PVP01_0003050	PVP01_0003050		12	11	62	200	1	1	1	1	5	11	0	1	58	0	0	2	0	2	0	0	10	195
PVP01_0003060	PVP01_0003060	PVP01_0003060		4	4	10	592	0	0	0	1	296	4	0	11	9	0	0	1	0	0	0	1	3	285
PVP01_0003070	PVP01_0003070	PVP01_0003070		6	23	72	301	0	0	0	0	152	6	0	17	72	0	0	3	0	0	0	0	20	135
PVP01_0003080	PVP01_0003080	PVP01_0003080		1	2	0	117	0	0	0	0	52	0	0	0	0	0	0	0	0	1	0	0	2	65
PVP01_0003090	PVP01_0003090	PVP01_0003090		0	17	17	248	0	0	0	0	17	0	0	8	17	0	0	3	0	0	0	0	16	224
PVP01_0003100	PVP01_0003100	PVP01_0003100		17	25	65	458	0	3	1	0	152	16	0	13	61	0	1	2	0	0	0	0	23	296
PVP01_0003110	PVP01_0003110	PVP01_0003110		2	6	33	501	0	0	0	0	130	2	0	12	33	0	0	1	0	0	0	0	5	360
PVP01_0003120	PVP01_0003120	PVP01_0003120		1	4	6	348	0	0	0	0	94	1	0	0	6	0	0	0	0	0	0	0	4	254
PVP01_0003130	PVP01_0003130	PVP01_0003130		0	0	0	245	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	82
PVP01_0003140	PVP01_0003140	PVP01_0003140		0	2	4	129	0	0	0	0	53	0	0	0	4	0	0	0	0	0	0	0	2	76
PVP01_0003150	PVP01_0003150	PVP01_0003150		9	24	47	156	1	2	2	2	88	8	0	16	40	0	0	2	0	1	0	0	22	54
PVP01_0003160	PVP01_0003160	PVP01_0003160		5	3	12	197	0	0	1	0	38	5	0	1	11	0	0	1	0	0	0	0	3	158
PVP01_0003170	PVP01_0003170	PVP01_0003170		2	0	1	103	0	0	0	0	42	2	0	0	1	0	0	0	0	0	0	0	0	61
PVP01_0003180	PVP01_0003180	PVP01_0003180		4	2	16	135	0	0	0	0	104	2	0	4	16	0	0	0	0	2	0	0	2	27
PVP01_0003190	PVP01_0003190	PVP01_0003190		5	11	37	217	1	0	0	1	152	3	0	34	35	0	0	5	0	1	1	0	8	34
PVP01_0003200	PVP01_0003200	PVP01_0003200		1	27	55	191	1	0	0	1	55	0	0	11	53	0	0	4	1	0	0	0	23	129
PVP01_0003210	PVP01_0003210	PVP01_0003210		2	2	9	471	0	1	0	0	123	2	0	9	8	0	0	0	0	0	0	0	2	339
PVP01_0003220	PVP01_0003220	PVP01_0003220		9	19	81	346	1	1	0	0	235	8	0	17	79	0	0	0	0	1	0	0	19	94
PVP01_0003230	PVP01_0003230	PVP01_0003230		6	11	32	346	0	2	1	0	241	6	0	0	29	0	0	0	0	0	0	0	11	105
PVP01_0003240	PVP01_0003240	PVP01_0003240		0	11	15	98	1	0	0	0	38	0	0	1	14	0	0	1	0	0	0	0	10	60
PVP01_0003250	PVP01_0003250	PVP01_0003250		3	7	16	121	0	0	0	0	48	3	0	17	16	0	0	0	0	0	0	0	7	56
PVP01_0003260	PVP01_0003260	PVP01_0003260		0	2	16	229	0	0	0	0	60	0	0	0	16	0	0	0	0	0	0	0	2	169
PVP01_0003270	PVP01_0003270	PVP01_0003270		6	4	7	306	1	1	1	0	175	5	0	3	4	0	0	1	0	1	0	0	3	129
PVP01_0003280	PVP01_0003280	PVP01_0003280		0	4	8	204	0	0	0	0	124	0	0	12	8	0	0	0	0	0	0	0	4	68
PVP01_0003290	PVP01_0003290	PVP01_0003290		2	3	6	178	0	0	0	0	81	2	0	1	6	0	0	0	0	0	0	0	3	96
PVP01_0003300	PVP01_0003300	PVP01_0003300		0	8	18	281	0	0	0	0	198	0	0	3	18	0	0	0	0	0	0	0	8	80
PVP01_0003310	PVP01_0003310	PVP01_0003310		2	19	41	240	0	0	0	0	71	2	0	2	41	0	0	0	0	1	0	0	19	167
PVP01_0003320	PVP01_0003320	PVP01_0003320		4	7	32	228	0	0	0	1	91	3	0	18	31	0	1	2	0	1	0	0	6	121
PVP01_0003330	PVP01_0003330	PVP01_0003330		8	14	49	115	0	1	2	1	29	7	0	8	45	0	1	2	0	0	0	0	12	81
PVP01_0003340	PVP01_0003340	PVP01_0003340		0	0	15	246	1	1	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	246
PVP01_0003350	PVP01_0003350	PVP01_0003350		20	20	74	248	2	0	2	0	154	20	0	12	70	0	0	1	1	0	0	0	20	82
PVP01_0003360	PVP01_0003360	PVP01_0003360		1	1	5	247	0	0	0	0	77	1	0	1	5	0	0	1	0	0	0	0	0	170
PVP01_0003370	PVP01_0003370	PVP01_0003370		0	0	0	88	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	83
PVP01_0003380	PVP01_0003380	PVP01_0003380		1	1	1	75	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	72
PVP01_0003390	PVP01_0003390	PVP01_0003390		0	0	2	24	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	23
PVP01_0003400	PVP01_0003400	PVP01_0003400		0	0	0	33	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	3
PVP01_0003410	PVP01_0003410	PVP01_0003410		0	0	1	76	0	0	0	0	44	0	0	1	1	0	0	0	0	0	0	0	0	31
PVP01_0003420	PVP01_0003420	PVP01_0003420		0	0	0	273	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	47
PVP01_0003430	PVP01_0003430	PVP01_0003430		7	7	73	183	1	1	2	0	43	6	0	6	69	0	0	1	0	1	0	0	7	134
PVP01_0003440	PVP01_0003440	PVP01_0003440		0	0	1	171	0	0	0	0	35	0	0	1	1	0	0	0	0	0	0	0	0	135
PVP01_0003450	PVP01_0003450	PVP01_0003450		0	2	4	39	0	0	0	0	27	0	0	0	4	0	0	0	0	0	0	0	2	12
PVP01_0003460	PVP01_0003460	PVP01_0003460		0	0	0	142	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	124
PVP01_0003470	PVP01_0003470	PVP01_0003470		5	8	29	184	1	0	0	0	17	4	0	13	28	1	0	2	0	0	0	0	6	157
PVP01_0003480	PVP01_0003480	PVP01_0003480		0	0	0	111	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	106
PVP01_0003490	PVP01_0003490	PVP01_0003490		0	0	1	174	0	0	0	0	166	0	0	0	1	0	0	0	0	0	0	0	0	8
PVP01_0003500	PVP01_0003500	PVP01_0003500		0	0	11	389	0	0	0	0	250	0	0	2	11	0	0	0	0	0	0	0	0	137
PVP01_0003510	PVP01_0003510	PVP01_0003510		2	7	34	445	0	0	0	0	269	1	0	41	34	0	0	0	0	1	0	0	7	135
PVP01_0003520	PVP01_0003520	PVP01_0003520		11	20	46	331	0	0	0	0	56	11	0	4	46	0	0	1	0	1	0	0	19	272
PVP01_0003530	PVP01_0003530	PVP01_0003530		0	6	13	259	0	0	0	0	113	0	0	0	13	0	0	0	0	0	0	0	6	146
PVP01_0003540	PVP01_0003540	PVP01_0003540		4	6	14	201	0	0	1	0	80	4	0	11	13	0	0	1	0	1	0	0	5	111
PVP01_0003550	PVP01_0003550	PVP01_0003550		2	1	8	235	0	0	1	0	133	2	0	1	7	0	0	0	0	0	0	0	1	101
PVP01_0003560	PVP01_0003560	PVP01_0003560		5	4	17	314	0	0	0	2	165	4	0	11	15	0	0	1	0	1	0	0	3	139
PVP01_0003570	PVP01_0003570	PVP01_0003570		11	11	37	276	0	0	0	0	127	11	0	0	37	0	0	0	0	0	0	0	11	149
PVP01_0003580	PVP01_0003580	PVP01_0003580		13	12	31	219	0	0	0	0	49	8	0	7	31	1	1	4	0	5	2	0	10	166
PVP01_0003590	PVP01_0003590	PVP01_0003590		0	2	3	271	0	0	0	0	107	0	0	20	3	0	0	2	0	0	0	0	0	146
PVP01_0003600	PVP01_0003600	PVP01_0003600		8	9	34	271	0	1	0	1	196	7	0	19	32	0	0	4	0	0	1	0	7	58
PVP01_0003610	PVP01_0003610	PVP01_0003610		15	31	80	353	1	1	2	3	206	14	0	29	73	0	0	5	0	2	0	0	28	121
PVP01_0003620	PVP01_0003620	PVP01_0003620		17	17	68	431	2	1	2	3	160	17	0	0	60	0	0	0	0	0	0	0	17	271
PVP01_0003630	PVP01_0003630	PVP01_0003630		8	16	44	350	2	0	1	1	157	7	0	2	40	0	0	2	0	1	0	0	14	193
PVP01_0003640	PVP01_0003640	PVP01_0003640		4	5	17	196	0	0	0	0	0	2	0	12	17	0	0	2	0	2	0	0	4	185
PVP01_0003650	PVP01_0003650	PVP01_0003650		0	5	15	433	0	0	0	0	19	0	0	2	15	0	0	1	0	0	0	0	4	413
PVP01_0003660	PVP01_0003660	PVP01_0003660		18	23	100	394	0	1	0	2	288	16	0	18	97	0	0	3	0	3	0	0	21	90
PVP01_0003670	PVP01_0003670	PVP01_0003670		4	1	2	367	1	0	0	0	301	4	0	2	1	0	0	0	0	0	0	0	1	64
PVP01_0003680	PVP01_0003680	PVP01_0003680		6	2	22	115	0	3	1	1	39	4	0	0	18	0	0	0	0	2	0	0	2	76
PVP01_0003690	PVP01_0003690	PVP01_0003690		3	6	19	201	0	0	0	0	62	3	0	3	19	0	0	0	0	0	0	0	6	136
PVP01_0003700	PVP01_0003700	PVP01_0003700		0	15	36	297	1	1	1	2	106	0	0	12	31	0	0	2	0	0	0	0	13	181
PVP01_0003710	PVP01_0003710	PVP01_0003710		0	11	30	250	0	0	0	0	174	0	0	14	30	0	0	2	0	0	0	0	9	64
PVP01_0003720	PVP01_0003720	PVP01_0003720		0	1	2	333	0	0	0	0	112	0	0	3	2	0	0	1	0	0	0	1	0	218
PVP01_0003730	PVP01_0003730	PVP01_0003730		19	45	133	479	1	2	2	1	9	19	0	20	127	0	0	5	0	1	0	0	40	455
PVP01_0003740	PVP01_0003740	PVP01_0003740		13	37	96	934	0	3	1	0	437	10	0	52	93	0	1	8	0	3	0	0	32	451
PVP01_0003750	PVP01_0003750	PVP01_0003750		21	32	88	869	0	2	4	0	600	20	0	20	82	1	0	2	0	0	0	0	30	252
PVP01_0003760	PVP01_0003760	PVP01_0003760		0	0	9	315	0	0	0	0	259	0	0	0	9	0	0	0	0	0	0	0	0	56
PVP01_0003770	PVP01_0003770	PVP01_0003770		6	5	19	121	1	1	0	0	68	4	0	5	17	0	1	3	0	1	0	0	2	52
PVP01_0003780	PVP01_0003780	PVP01_0003780		7	8	19	217	0	0	1	0	52	4	0	9	18	1	0	2	0	2	0	0	7	158
PVP01_0003790	PVP01_0003790	PVP01_0003790		23	23	130	271	3	1	2	0	64	18	0	29	124	0	1	2	0	5	0	0	21	181
