Chromosome	Gene	Start	End	Ratio
LT635625	serpentine receptor, putative(PVP01_1422500)	984607	986023	1.205189
LT635625	3',5'-cyclic nucleotide phosphodiesterase,putative(PVP01_1422400)	979170	982949	1.141704
LT635625	3',5'-cyclic nucleotide phosphodiesterase,putative(PVP01_1422300)	970600	975838	1.140476
LT635625	palmitoyltransferase DHHC8, putative(PVP01_1422200)	967105	969730	1.084146
LT635625	conserved Plasmodium protein, unknown function(PVP01_1422100)	956959	966048	1.191250
LT635625	conserved protein, unknown function(PVP01_1422000)	956006	956636	1.049104
LT635625	conserved Plasmodium protein, unknown function(PVP01_1421900)	944047	953166	1.077102
LT635625	conserved Plasmodium protein, unknown function(PVP01_1421800)	941733	943727	1.176351
LT635625	RNA-binding protein, putative(PVP01_1421700)	939195	940065	1.197764
LT635625	dihydrolipoyllysine-residue succinyltransferasecomponent of 2-oxoglutarate dehydrogenase complex,putative(PVP01_1421600)	936524	938211	1.032434
LT635625	conserved Plasmodium protein, unknown function(PVP01_1421500)	930729	935000	1.196919
LT635625	ras-related protein Rab-11A, putative(PVP01_1421400)	927784	929333	1.157621
LT635625	SNARE protein, putative(PVP01_1421300)	924358	926093	1.259109
LT635625	type I signal peptidase, putative(PVP01_1421200)	922233	923183	1.395625
LT635625	conserved Plasmodium protein, unknown function(PVP01_1421100)	918666	921089	1.039933
LT635625	TBC domain protein, putative(PVP01_1421000)	916098	917885	1.125973
LT635625	ATP-dependent Clp protease adapter protein ClpS,putative(PVP01_1420900)	913609	914855	0.915281
LT635625	golgi protein 1, putative(PVP01_1420800)	908480	912403	1.248964
LT635625	conserved Plasmodium protein, unknown function(PVP01_1420700)	901306	905010	1.178329
LT635625	protein phosphatase PP2A regulatory subunit A,putative(PVP01_1420600)	897178	899748	1.351663
LT635625	conserved Plasmodium protein, unknown function(PVP01_1420500)	890586	896426	1.040831
LT635625	conserved Plasmodium protein, unknown function(PVP01_1420400)	887377	887604	1.192031
LT635625	conserved Plasmodium protein, unknown function(PVP01_1420300)	881234	886322	1.227220
LT635625	N(2),N(2)-dimethylguanosine tRNAmethyltransferase, putative(PVP01_1420200)	873727	876567	1.049298
LT635625	conserved Plasmodium protein, unknown function(PVP01_1420100)	869673	872042	0.968295
LT635625	conserved protein, unknown function(PVP01_1420000)	866724	868796	1.237923
LT635625	conserved Plasmodium protein, unknown function(PVP01_1419900)	861944	864277	1.012615
LT635625	conserved Plasmodium protein, unknown function(PVP01_1419800)	857313	859250	1.165276
LT635625	translocation protein SEC63, putative(PVP01_1419700)	852313	854499	1.183240
LT635625	conserved Plasmodium protein, unknown function(PVP01_1419600)	846559	849033	1.169844
LT635625	conserved Plasmodium protein, unknown function(PVP01_1419500)	844483	846135	1.153869
LT635625	conserved Plasmodium protein, unknown function(PVP01_1419400)	842371	844138	0.874656
LT635625	structural maintenance of chromosomes protein 2,putative(PVP01_1419300)	836387	840362	1.270961
LT635625	conserved Plasmodium protein, unknown function(PVP01_1419200)	831108	835676	1.046119
LT635625	glycerol-3-phosphate 1-O-acyltransferase,putative(PVP01_1419100)	827933	829189	1.112021
LT635625	ferredoxin, putative(PVP01_1419000)	826161	826751	1.002116
LT635625	conserved Plasmodium protein, unknown function(PVP01_1418900)	823107	823676	1.120267
LT635625	small ribosomal subunit nuclear export protein,putative(PVP01_1418800)	818957	821629	1.071483
LT635625	40S ribosomal protein S19, putative(PVP01_1418700)	817230	818187	1.054946
LT635625	conserved Plasmodium protein, unknown function(PVP01_1418600)	815071	815553	1.525184
LT635625	conserved Plasmodium protein, unknown function(PVP01_1418500)	811900	814493	1.096772
LT635625	conserved Plasmodium protein, unknown function(PVP01_1418400)	810831	811100	0.981431
LT635625	conserved Plasmodium protein, unknown function(PVP01_1418300)	809257	809886	1.094408
LT635625	conserved Plasmodium protein, unknown function(PVP01_1418200)	805679	807296	0.818193
LT635625	transcription factor with AP2 domain(s)(PVP01_1418100)	797432	805024	0.910572
LT635625	DNA replication licensing factor MCM4, putative(PVP01_1418000)	783485	786352	1.122725
LT635625	U4/U6.U5 tri-snRNP-associated protein 2,putative(PVP01_1417900)	780013	782070	0.939273
LT635625	conserved Plasmodium protein, unknown function(PVP01_1417800)	773856	776525	1.049719
LT635625	protein transport protein SEC20, putative(PVP01_1417700)	770705	772635	0.950125
LT635625	conserved Plasmodium protein, unknown function(PVP01_1417600)	768135	770398	1.038768
LT635625	choline-phosphate cytidylyltransferase,putative(PVP01_1417500)	763575	766753	0.987182
LT635625	pre-mRNA-processing factor 40, putative(PVP01_1417400)	757684	760326	1.219313
LT635625	SAS6-like protein, putative(PVP01_1417300)	753194	754833	0.916523
LT635625	conserved Plasmodium protein, unknown function(PVP01_1417200)	751188	751929	1.060501
LT635625	ADP-ribosylation factor, putative(PVP01_1417100)	749526	750672	0.991735
LT635625	inositol polyphosphate kinase, putative(PVP01_1417000)	744107	748174	1.032103
LT635625	protein kinase, putative(PVP01_1416900)	737461	740374	0.888179
LT635625	exportin-1, putative(PVP01_1416800)	732781	736992	1.071507
LT635625	transcription factor MYB1, putative(PVP01_1416700)	728141	729295	1.105093
LT635625	tRNA (adenine(58)-N(1))-methyltransferasecatalytic subunit TRM61, putative(PVP01_1416600)	726651	727778	1.069774
LT635625	phosphatidylinositol synthase, putative(PVP01_1416500)	723036	725224	0.941933
LT635625	conserved Plasmodium protein, unknown function(PVP01_1416400)	720470	721523	1.149563
LT635625	zinc finger (CCCH type) protein, putative(PVP01_1416300)	713885	716969	-nan
LT635625	conserved Plasmodium protein, unknown function(PVP01_1416200)	710142	712007	0.933579
LT635625	conserved Plasmodium protein, unknown function(PVP01_1416100)	705667	708549	0.886981
LT635625	serine/threonine protein kinase, putative(PVP01_1416000)	704450	705556	1.229651
LT635625	conserved Plasmodium protein, unknown function(PVP01_1415900)	702419	703273	1.116198
LT635625	TFIIH basal transcription factor subunit,putative(PVP01_1415800)	697703	699592	0.920138
LT635625	ubiquitin-like protein, putative(PVP01_1415700)	694385	695110	0.955022
LT635625	conserved Plasmodium protein, unknown function(PVP01_1415600)	690958	693073	0.959283
LT635625	lipoate-protein ligase 1, putative(PVP01_1415500)	689067	690338	1.137975
LT635625	cop-coated vesicle membrane protein p24precursor, putative(PVP01_1415400)	686427	687702	1.227432
LT635625	conserved Plasmodium protein, unknown function(PVP01_1415300)	684870	685412	0.985066
LT635625	conserved Plasmodium protein, unknown function(PVP01_1415200)	682467	683897	1.141408
LT635625	telomerase reverse transcriptase, putative(PVP01_1415100)	674981	682336	1.020035
LT635625	conserved Plasmodium protein, unknown function(PVP01_1415000)	671285	673501	1.210987
LT635625	conserved Plasmodium protein, unknown function(PVP01_1414900)	665920	669414	0.991420
LT635625	conserved Plasmodium protein, unknown function(PVP01_1414800)	663536	664738	1.241319
LT635625	conserved Plasmodium protein, unknown function(PVP01_1414700)	651629	661709	1.032929
LT635625	septum formation protein MAF homologue,putative(PVP01_1414600)	649683	650513	1.091428
LT635625	conserved Plasmodium protein, unknown function(PVP01_1414500)	642034	648207	1.047092
LT635625	conserved Plasmodium protein, unknown function(PVP01_1414400)	635821	640625	1.101632
LT635625	DEAD box helicase, putative(PVP01_1414300)	632410	634782	1.145024
LT635625	peptidyl-prolyl cis-trans isomerase, putative(PVP01_1414200)	631116	632054	0.845551
LT635625	methionyl-tRNA formyltransferase, putative(PVP01_1414100)	628503	630542	0.999302
LT635625	conserved Plasmodium protein, unknown function(PVP01_1414000)	618949	627586	1.089177
LT635625	ubiquitin-like protein nedd8 homologue,putative(PVP01_1413900)	615074	615591	1.007124
LT635625	eukaryotic translation initation factor 4 gamma,putative(PVP01_1413800)	609603	613469	1.175895
LT635625	conserved Plasmodium protein, unknown function(PVP01_1413700)	596978	604543	1.079709
LT635625	2-oxoisovalerate dehydrogenase subunit alpha,mitochondrial, putative(PVP01_1413600)	593863	595158	1.191417
LT635625	conserved Plasmodium protein, unknown function(PVP01_1413500)	590222	590425	1.289830
LT635625	apical ring associated protein 1, putative(PVP01_1413450)	588485	588736	1.047491
LT635625	translation initiation factor IF-2, putative(PVP01_1413400)	584350	587565	1.057745
LT635625	mitochondrial ribosomal protein S35 precursor,putative(PVP01_1413300)	582757	583545	1.279263
LT635625	conserved Plasmodium protein, unknown function(PVP01_1413200)	581230	582535	1.115874
LT635625	conserved Plasmodium protein, unknown function(PVP01_1413100)	576193	580086	1.044602
LT635625	malonyl CoA-acyl carrier protein transacylaseprecursor, putative(PVP01_1413000)	574141	575340	1.220817
LT635625	V-type proton ATPase catalytic subunit A,putative(PVP01_1412900)	569751	571586	1.095769
LT635625	M1-family alanyl aminopeptidase, putative(PVP01_1412800)	563290	566583	1.180899
LT635625	cytochrome c, putative(PVP01_1412700)	558595	559059	1.176529
LT635625	conserved Plasmodium protein, unknown function(PVP01_1412600)	555756	557486	1.093648
LT635625	26S protease regulatory subunit 7, putative(PVP01_1412500)	550653	552145	1.041327
LT635625	AP-1 complex subunit mu-1, putative(PVP01_1412400)	547982	549358	1.197445
LT635625	ATP synthase subunit gamma, mitochondrial,putative(PVP01_1412300)	544696	546045	1.046965
LT635625	alternative splicing regulator, putative(PVP01_1412200)	542094	543668	1.233685
LT635625	meiosis-specific nuclear structural protein 1,putative(PVP01_1412100)	539584	541071	1.680283
LT635625	protein ISD11, putative(PVP01_1412000)	536969	537383	1.048795
LT635625	30S ribosomal protein S15, putative(PVP01_1411900)	535722	536630	1.290665
LT635625	conserved Plasmodium protein, unknown function(PVP01_1411800)	530360	534283	1.114618
LT635625	RNA-binding protein, putative(PVP01_1411700)	528162	528638	1.155555
LT635625	ras-related protein Rab-5B, putative(PVP01_1411600)	524820	526310	0.982863
LT635625	conserved Plasmodium protein, unknown function(PVP01_1411500)	522880	523476	1.063090
LT635625	conserved Plasmodium protein, unknown function(PVP01_1411400)	519552	521984	1.036029
LT635625	zinc finger protein, putative(PVP01_1411300)	516541	517287	1.405270
LT635625	conserved Plasmodium protein, unknown function(PVP01_1411200)	514396	515021	0.987894
LT635625	conserved Plasmodium protein, unknown function(PVP01_1411100)	510266	513376	1.084341
LT635625	mitochondrial ATP synthase delta subunit,putative(PVP01_1411000)	508126	508860	1.183600
LT635625	conserved Plasmodium protein, unknown function(PVP01_1410900)	506523	507116	1.064826
LT635625	conserved Plasmodium protein, unknown function(PVP01_1410800)	504773	505890	1.202680
LT635625	vacuolar protein sorting-associated protein 18,putative(PVP01_1410700)	499814	504415	1.117647
LT635625	ribosomal RNA methyltransferase, putative(PVP01_1410600)	497947	498747	1.102957
LT635625	H/ACA ribonucleoprotein complex subunit 1,putative(PVP01_1410500)	495778	496371	1.399814
LT635625	HORMA domain protein, putative(PVP01_1410400)	491731	495048	1.153526
LT635625	U4/U6 small nuclear ribonucleoprotein PRP3,putative(PVP01_1410300)	486174	488465	1.185722
LT635625	protein phosphatase PPM6, putative(PVP01_1410200)	482831	485503	1.073206
LT635625	60S ribosomal protein L24, putative(PVP01_1410100)	475046	476264	1.090580
LT635625	conserved Plasmodium protein, unknown function(PVP01_1410000)	471074	472156	1.239382
LT635625	mRNA-decapping enzyme 2, putative(PVP01_1409900)	462192	466442	1.172384
LT635625	tyrosine recombinase, putative(PVP01_1409800)	455455	458526	1.091052
LT635625	conserved Plasmodium protein, unknown function(PVP01_1409700)	453517	454776	1.051918
LT635625	conserved Plasmodium protein, unknown function(PVP01_1409600)	448656	452690	1.156322
LT635625	conserved Plasmodium protein, unknown function(PVP01_1409500)	445404	447089	1.096854
LT635625	conserved Plasmodium protein, unknown function(PVP01_1409400)	426945	443096	1.067727
LT635625	40S ribosomal protein S27, putative(PVP01_1409300)	425454	425981	1.202277
LT635625	carbamoyl phosphate synthetase, putative(PVP01_1409200)	415340	422210	1.128015
LT635625	CCAAT-binding transcription factor, putative(PVP01_1409100)	413972	414427	1.186138
LT635625	conserved Plasmodium protein, unknown function(PVP01_1409000)	410444	412585	1.337612
LT635625	tripartite motif protein, putative(PVP01_1408900)	405387	407832	1.247059
LT635625	conserved Plasmodium protein, unknown function(PVP01_1408800)	400319	402526	1.010005
LT635625	fork head domain protein, putative(PVP01_1408700)	398419	400192	0.885945
LT635625	conserved Plasmodium protein, unknown function(PVP01_1408600)	393778	397518	1.081672
LT635625	DNA-directed RNA polymerase alpha chain,putative(PVP01_1408500)	389162	391315	1.187777
LT635625	conserved Plasmodium protein, unknown function(PVP01_1408400)	387247	387528	1.519014
LT635625	conserved Plasmodium protein, unknown function(PVP01_1408300)	384725	386199	1.085449
LT635625	ATP-dependent RNA helicase DBP6, putative(PVP01_1408200)	382345	384225	1.144472
LT635625	DnaJ protein, putative(PVP01_1408100)	380480	381493	1.455653
LT635625	U3 small nucleolar RNA-associated protein 6,putative(PVP01_1408000)	377257	379809	1.207875
LT635625	exosome complex component RRP40, putative(PVP01_1407900)	375085	376196	1.156528
LT635625	U1 small nuclear ribonucleoprotein A, putative(PVP01_1407800)	373119	374956	1.122209
LT635625	RED-like protein, putative(PVP01_1407700)	370459	371685	1.308221
LT635625	conserved Plasmodium protein, unknown function(PVP01_1407600)	366478	368160	1.316006
LT635625	V-type proton ATPase subunit H, putative(PVP01_1407500)	362536	364490	1.253057
LT635625	MORN repeat protein, putative(PVP01_1407400)	349217	361465	1.120069
LT635625	26S protease regulatory subunit 10B, putative(PVP01_1407300)	344749	345930	1.079028
LT635625	SAM dependent methyltransferase, putative(PVP01_1407200)	341021	344257	1.173858
LT635625	conserved Plasmodium protein, unknown function(PVP01_1407100)	337068	338498	1.414105
LT635625	conserved Plasmodium protein, unknown function(PVP01_1407000)	335646	336059	1.474067
LT635625	conserved Plasmodium protein, unknown function(PVP01_1406900)	330618	334571	1.175798
LT635625	conserved Plasmodium protein, unknown function(PVP01_1406800)	325846	327839	1.170942
LT635625	conserved Plasmodium protein, unknown function(PVP01_1406700)	323018	323860	1.550860
LT635625	conserved Plasmodium protein, unknown function(PVP01_1406600)	321589	322179	1.095479
LT635625	membrane integral peptidase, M50 family,putative(PVP01_1406500)	318070	319167	1.129980
LT635625	mitogen-activated protein kinase phosphatase 1,putative(PVP01_1406400)	314618	317209	1.234453
LT635625	AAR2 protein, putative(PVP01_1406300)	311409	313688	0.908279
LT635625	conserved Plasmodium protein, unknown function(PVP01_1406200)	298106	308784	1.212025
LT635625	transcription factor with AP2 domain(s),putative(PVP01_1406100)	296587	297597	1.084241
LT635625	conserved Plasmodium protein, unknown function(PVP01_1406000)	294013	295332	1.269595
LT635625	conserved Plasmodium protein, unknown function(PVP01_1405900)	288922	293097	1.214599
LT635625	DNA-directed RNA polymerase II subunit RPB11,putative(PVP01_1405800)	286573	287737	1.009326
LT635625	NLI interacting factor-like phosphatase,putative(PVP01_1405700)	278016	283102	1.148705
LT635625	cyclin, putative(PVP01_1405600)	274162	275793	1.074611
LT635625	conserved Plasmodium protein, unknown function(PVP01_1405500)	270358	273699	1.242545
LT635625	small heat shock protein, putative(PVP01_1405400)	267460	268089	1.248885
LT635625	conserved Plasmodium protein, unknown function(PVP01_1405300)	263605	265571	1.147571
LT635625	conserved Plasmodium protein, unknown function(PVP01_1405200)	262390	262965	1.185685
LT635625	CorA-like Mg2+ transporter protein, putative(PVP01_1405100)	258279	260108	1.154466
LT635625	DNA ligase I, putative(PVP01_1405000)	253535	256656	1.174635
LT635625	condensin complex subunit 2, putative(PVP01_1404900)	247968	251243	1.161375
LT635625	conserved Plasmodium protein, unknown function(PVP01_1404800)	246059	247384	1.024601
LT635625	conserved Plasmodium protein, unknown function(PVP01_1404700)	215753	242440	1.146131
LT635625	conserved Plasmodium protein, unknown function(PVP01_1404600)	211570	215047	1.251172
LT635625	conserved Plasmodium protein, unknown function(PVP01_1404500)	209508	210133	1.309021
LT635625	sodium/hydrogen exchanger, Na+, H+ antiporter,putative(PVP01_1404400)	200867	206401	1.172621
LT635625	LisH domain-containing protein, putative(PVP01_1404300)	193028	196219	1.257820
LT635625	conserved Plasmodium protein, unknown function(PVP01_1404200)	189572	190537	1.242621
LT635625	SNARE protein, putative(PVP01_1404100)	187023	188296	0.950911
LT635625	methyltransferase-like protein, putative(PVP01_1404000)	185182	186040	1.179209
LT635625	conserved Plasmodium protein, unknown function(PVP01_1403900)	183977	184868	1.082839
LT635625	conserved Plasmodium protein, unknown function(PVP01_1403800)	180325	182979	1.219678
LT635625	40S ribosomal protein S7, putative(PVP01_1403700)	176405	177188	1.354590
LT635625	ATP-dependent RNA helicase DHR1, putative(PVP01_1403600)	170445	175592	1.217556
LT635625	deoxyhypusine hydroxylase, putative(PVP01_1403500)	168148	169188	1.360663
LT635625	conserved Plasmodium protein, unknown function(PVP01_1403400)	156669	165240	1.254218
LT635625	conserved Plasmodium protein, unknown function(PVP01_1403300)	153152	154949	1.274901
LT635625	hypothetical protein(PVP01_1403200)	150057	150744	1.247487
LT635625	early transcribed membrane protein(PVP01_1403100)	146092	146733	1.378574
LT635625	gametocyte associated protein, putative(PVP01_1403000)	141968	142702	1.529112
LT635625	hypothetical protein(PVP01_1402900)	137632	138750	1.354522
LT635625	Plasmodium exported protein, unknown function(PVP01_1402800)	134001	134998	1.266629
LT635625	Plasmodium exported protein, unknown function(PVP01_1402700)	129063	130180	1.199734
LT635625	conserved Plasmodium protein, unknown function(PVP01_1402600)	125809	126543	1.186068
LT635625	conserved Plasmodium protein, unknown function(PVP01_1402500)	123299	124081	1.409095
LT635625	reticulocyte binding protein 2a(PVP01_1402400)	113324	120966	1.445506
LT635625	Plasmodium exported protein, unknown function(PVP01_1402300)	105930	107070	1.305840
LT635625	Plasmodium exported protein, unknown function(PVP01_1402200)	100526	102026	1.406242
LT635625	Plasmodium exported protein, unknown function(PVP01_1402100)	96288	97326	1.409529
LT635625	hypothetical protein(PVP01_1402000)	91784	92260	1.367313
LT635625	lysophospholipase, putative(PVP01_1401900)	84685	86253	1.434509
LT635625	tryptophan-rich antigen(PVP01_1401800)	81335	82346	1.475659
LT635625	Plasmodium exported protein, unknown function(PVP01_1401700)	76113	76993	1.379791
LT635625	Plasmodium exported protein, unknown function(PVP01_1401600)	71251	72008	1.387946
LT635625	Plasmodium exported protein, unknown function(PVP01_1401500)	67360	68125	1.596539
LT635625	cytoadherence linked asexual protein, CLAG,putative(PVP01_1401400)	55789	61052	1.509316
LT635625	Plasmodium exported protein, unknown function(PVP01_1401300)	51257	53698	1.531829
LT635625	Plasmodium exported protein, unknown function(PVP01_1401200)	45635	46428	1.256333
LT635625	Plasmodium exported protein, unknown function(PVP01_1401100)	42357	43631	1.419570
LT635625	Plasmodium exported protein, unknown function(PVP01_1401000)	39544	40628	1.454376
LT635625	Plasmodium exported protein, unknown function(PVP01_1400900)	34548	35805	1.880473
LT635625	Plasmodium exported protein, unknown function(PVP01_1400800)	30987	31718	1.676854
LT635625	Plasmodium exported protein, unknown function(PVP01_1400700)	26780	27983	1.393338
LT635625	(PVP01_1400600)	21973	23258	1.490523
LT635625	(PVP01_1400500)	18176	19036	1.425667
LT635625	PIR protein(PVP01_1400400)	13308	14742	1.100222
LT635625	Plasmodium exported protein, unknown function(PVP01_1400300)	9886	10608	1.399550
LT635625	PIR protein(PVP01_1400200)	6691	8034	1.267343
LT635625	Plasmodium exported protein, unknown function(PVP01_1400100)	4	473	1.029973
LT635624	PIR protein(PVP01_1347800)	2084602	2086226	1.207101
LT635624	PIR protein(PVP01_1347700)	2080440	2082110	7.496833
LT635624	PIR protein(PVP01_1347600)	2076979	2078321	0.741364
LT635624	PIR protein(PVP01_1347500)	2073276	2074440	0.639907
LT635624	PIR protein(PVP01_1347400)	2066092	2068070	1.285413
LT635624	PIR protein(PVP01_1347300)	2058562	2061667	1.100145
LT635624	PIR protein(PVP01_1347200)	2049882	2051416	0.913112
LT635624	Plasmodium exported protein, unknown function(PVP01_1347100)	2045000	2045791	1.437820
LT635624	choline kinase, putative(PVP01_1347000)	2037060	2038385	1.409058
LT635624	conserved Plasmodium protein, unknown function(PVP01_1346900)	2032975	2035470	1.257687
LT635624	conserved Plasmodium protein, unknown function(PVP01_1346800)	2028571	2032303	1.293992
LT635624	conserved Plasmodium protein, unknown function(PVP01_1346700)	2024803	2027169	1.316541
LT635624	conserved Plasmodium protein, unknown function(PVP01_1346600)	2022495	2023058	1.305172
LT635624	26S proteasome regulatory subunit RPN6,putative(PVP01_1346500)	2020028	2021875	1.333873
LT635624	U1 small nuclear ribonucleoprotein C, putative(PVP01_1346400)	2016783	2018429	1.107040
LT635624	ubiquitin-40S ribosomal protein S27a, putative(PVP01_1346200)	2013814	2015366	1.189349
LT635624	U2 snRNP-associated SURP motif-containingprotein, putative(PVP01_1346100)	2008702	2012132	1.205622
LT635624	conserved Plasmodium protein, unknown function(PVP01_1346000)	2000865	2006515	1.223879
LT635624	conserved Plasmodium protein, unknown function(PVP01_1345900)	1998007	2000094	1.088389
LT635624	conserved Plasmodium protein, unknown function(PVP01_1345800)	1993999	1996938	1.088604
LT635624	condensin complex subunit 1, putative(PVP01_1345700)	1987546	1993140	1.122071
LT635624	conserved Plasmodium protein, unknown function(PVP01_1345600)	1985010	1986086	1.247007
LT635624	conserved Plasmodium protein, unknown function(PVP01_1345500)	1980207	1983998	1.083080
LT635624	conserved Plasmodium protein, unknown function(PVP01_1345400)	1975374	1979585	0.999050
LT635624	dynein light chain, putative(PVP01_1345300)	1973098	1975150	1.237713
LT635624	(PVP01_1345200)	1971815	1972546	1.202789
LT635624	translocation associated membrane protein,putative(PVP01_1345100)	1969454	1970903	1.147030
LT635624	nuclear formin-like protein, putative(PVP01_1345000)	1962404	1967256	0.947737
LT635624	serine/threonine protein phosphatase CPPED1,putative(PVP01_1344900)	1960615	1961511	1.201081
LT635624	DNA-directed RNA polymerase II subunit RPB4,putative(PVP01_1344800)	1958431	1959176	1.102713
LT635624	cytochrome c, putative(PVP01_1344700)	1956803	1957350	0.986254
LT635624	conserved Plasmodium protein, unknown function(PVP01_1344600)	1953668	1954201	0.858309
LT635624	secreted ookinete adhesive protein, putative(PVP01_1344500)	1951629	1952126	1.292378
LT635624	50S ribosomal protein L16, putative(PVP01_1344400)	1949685	1950224	1.326614
LT635624	rRNA biogenesis protein RRP5, putative(PVP01_1344300)	1947037	1948401	1.169902
LT635624	adenylyl cyclase alpha, putative(PVP01_1344200)	1940509	1946565	0.867116
LT635624	conserved Plasmodium protein, unknown function(PVP01_1344100)	1937958	1939103	1.002860
LT635624	conserved Plasmodium protein, unknown function(PVP01_1344000)	1933045	1935615	1.167712
LT635624	conserved Plasmodium protein, unknown function(PVP01_1343900)	1928400	1929365	1.290163
LT635624	conserved Plasmodium protein, unknown function(PVP01_1343800)	1923243	1926301	0.918236
LT635624	GTPase-activating protein, putative(PVP01_1343700)	1918423	1922382	0.913441
LT635624	trafficking protein particle complex subunit 1,putative(PVP01_1343600)	1916749	1917609	0.885659
LT635624	conserved Plasmodium protein, unknown function(PVP01_1343500)	1913525	1916389	0.974011
LT635624	DNA mismatch repair protein, putative(PVP01_1343400)	1908239	1913364	0.892353
LT635624	COBW domain-containing protein 1, putative(PVP01_1343300)	1905875	1907416	0.954866
LT635624	ribonucleotide reductase small subunit,putative(PVP01_1343200)	1904266	1905315	1.066083
LT635624	RING zinc finger protein, putative(PVP01_1343100)	1899368	1901455	0.955169
LT635624	ribosome biogenesis protein BOP1, putative(PVP01_1343000)	1892863	1896421	1.121171
LT635624	RNA-binding protein, putative(PVP01_1342900)	1888410	1891645	1.206870
LT635624	hypothetical protein(PVP01_1342800)	1879885	1888385	1.063863
LT635624	RNA-binding protein 8A, putative(PVP01_1342700)	1878663	1879391	1.010826
LT635624	conserved Plasmodium protein, unknown function(PVP01_1342600)	1874595	1878062	0.972342
LT635624	conserved Plasmodium protein, unknown function(PVP01_1342500)	1864238	1872154	1.073875
LT635624	glycerophosphodiester phosphodiesterase,putative(PVP01_1342400)	1860261	1861967	1.000873
LT635624	pentatricopeptide repeat domain-containingprotein, putative(PVP01_1342300)	1857494	1859320	1.052519
LT635624	WD repeat-containing protein 65, putative(PVP01_1342200)	1852836	1857313	1.046894
LT635624	ATP-dependent Clp protease, putative(PVP01_1342100)	1847278	1850958	0.974539
LT635624	vacuolar protein sorting-associated protein 29,putative(PVP01_1342000)	1845633	1846142	1.198063
LT635624	glideosome associated protein with multiplemembrane spans 3, putative(PVP01_1341900)	1843388	1844844	0.785688
LT635624	radical SAM protein, putative(PVP01_1341800)	1837511	1839148	0.968481
LT635624	LCCL domain-containing protein, putative(PVP01_1341700)	1832422	1836342	0.981956
LT635624	rRNA 2'-O-methyltransferase fibrillarin,putative(PVP01_1341600)	1829083	1830345	0.954664
LT635624	conserved Plasmodium protein, unknown function(PVP01_1341500)	1826687	1827682	1.184217
LT635624	pre-mRNA-splicing factor 38B, putative(PVP01_1341400)	1821527	1824511	1.043188
LT635624	conserved Plasmodium protein, unknown function(PVP01_1341300)	1819793	1820434	1.062989
LT635624	multifunctional methyltransferase subunitTRM112, putative(PVP01_1341200)	1816920	1818283	1.011039
LT635624	conserved Plasmodium protein, unknown function(PVP01_1341100)	1810704	1816898	0.975296
LT635624	conserved Plasmodium protein, unknown function(PVP01_1341000)	1806104	1807795	1.122067
LT635624	plasmepsin IV, putative(PVP01_1340900)	1801248	1802600	1.338246
LT635624	transcription factor with AP2 domain(s),putative(PVP01_1340800)	1794206	1798903	0.971756
LT635624	conserved Plasmodium protein, unknown function(PVP01_1340700)	1783936	1785047	0.806039
LT635624	DNA repair helicase, putative(PVP01_1340600)	1779845	1783156	1.215838
LT635624	conserved Plasmodium protein, unknown function(PVP01_1340500)	1777167	1777682	1.292130
LT635624	40S ribosomal protein S8e, putative(PVP01_1340400)	1773428	1774471	1.337849
LT635624	conserved Plasmodium protein, unknown function(PVP01_1340300)	1752351	1772434	1.089848
LT635624	conserved Plasmodium protein, unknown function(PVP01_1340200)	1747961	1748983	1.370658
LT635624	tRNA-dihydrouridine synthase, putative(PVP01_1340100)	1746355	1747377	1.232554
LT635624	WD repeat-containing protein, putative(PVP01_1340000)	1743451	1745172	1.119818
LT635624	aldo-keto reductase, putative(PVP01_1339900)	1738952	1742320	1.042579
LT635624	conserved Plasmodium protein, unknown function(PVP01_1339800)	1737455	1738473	0.796320
LT635624	DNA damage-inducible protein 1, putative(PVP01_1339700)	1733938	1735128	1.188854
LT635624	conserved Plasmodium protein, unknown function(PVP01_1339600)	1730915	1732431	0.997618
LT635624	conserved Plasmodium protein, unknown function(PVP01_1339500)	1721892	1726172	0.994585
LT635624	conserved Plasmodium protein, unknown function(PVP01_1339400)	1717689	1719530	1.125589
LT635624	conserved Plasmodium protein, unknown function(PVP01_1339300)	1710920	1714807	1.094724
LT635624	conserved Plasmodium protein, unknown function(PVP01_1339200)	1707662	1710212	1.162229
LT635624	CUGBP Elav-like family member 2, putative(PVP01_1339100)	1701554	1703065	1.224461
LT635624	cytidine diphosphate-diacylglycerol synthase,putative(PVP01_1339000)	1694545	1696458	1.217961
LT635624	ER membrane protein complex subunit 2, putative(PVP01_1338900)	1691414	1692295	1.181539
LT635624	alpha/beta hydrolase, putative(PVP01_1338800)	1686942	1688995	0.958622
LT635624	CTP synthase, putative(PVP01_1338700)	1681553	1684123	1.194874
LT635624	WD repeat-containing protein, putative(PVP01_1338600)	1667230	1679945	1.077058
LT635624	rhoptry-associated protein 1(PVP01_1338500)	1660431	1662365	1.258972
LT635624	conserved Plasmodium protein, unknown function(PVP01_1338400)	1658458	1659041	1.053830
LT635624	eukaryotic translation initiation factor 2subunit gamma, putative(PVP01_1338300)	1653729	1655126	1.044520
LT635624	conserved Plasmodium protein, unknown function(PVP01_1338200)	1650798	1652149	1.084803
LT635624	ankyrin-repeat protein, putative(PVP01_1338100)	1646375	1647846	1.024328
LT635624	ribosome maturation protein SBDS, putative(PVP01_1338000)	1641906	1644313	1.075231
